City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hailar,CN,68.09,clear sky,49.2,119.7,
1,Puerto Ayora,EC,71.08,clear sky,-0.7393,-90.3518,
2,Bethel,US,47.01,light rain,41.3712,-73.414,
3,Kamenka,RU,58.21,clear sky,51.3223,42.7678,
4,Busselton,AU,68.85,scattered clouds,-33.65,115.3333,
5,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,
6,Eureka,US,48.92,broken clouds,40.8021,-124.1637,
7,Esperance,AU,78.64,overcast clouds,-33.8667,121.9,
8,Port Lincoln,AU,59.54,overcast clouds,-34.7333,135.8667,
9,Ushuaia,AR,46.06,few clouds,-54.8,-68.3,
10,Taltal,CL,59.63,scattered clouds,-25.4,-70.4833,
11,Rosetta,EG,74.03,few clouds,31.4044,30.4164,
12,Albany,US,43.57,overcast clouds,42.6001,-73.9662,
13,Olinda,BR,73.13,scattered clouds,-8.0089,-34.8553,
14,Moses Lake,US,45.28,clear sky,47.1301,-119.2781,
15,Brody,UA,63.1,few clouds,50.0879,25.1503,
16,Rio Verde De Mato Grosso,BR,60.33,clear sky,-18.9181,-54.8442,
18,Zyryanskoye,RU,43.36,overcast clouds,56.8306,86.6258,
19,Jamestown,US,44.24,clear sky,42.097,-79.2353,
20,Matay,EG,86.77,broken clouds,28.419,30.7792,
21,Tasiilaq,GL,30.36,overcast clouds,65.6145,-37.6368,
22,Hay River,CA,31.98,snow,60.8156,-115.7999,
23,Rikitea,PF,77.13,clear sky,-23.1203,-134.9692,
24,Karratha,AU,84.04,overcast clouds,-20.7377,116.8463,
25,Hermagor,AT,60.33,overcast clouds,46.6272,13.3672,
26,Dunedin,NZ,58.8,overcast clouds,-45.8742,170.5036,
27,Bredasdorp,ZA,59.32,broken clouds,-34.5322,20.0403,
28,Saint-Joseph,RE,79.18,scattered clouds,-21.3667,55.6167,
29,Bubaque,GW,76.64,few clouds,11.2833,-15.8333,
30,Tuktoyaktuk,CA,31.35,overcast clouds,69.4541,-133.0374,
31,Burlington,US,44.71,light rain,39.8835,-74.6413,
32,Alice Springs,AU,69.22,few clouds,-23.7,133.8833,
33,Sioux Lookout,CA,48.27,overcast clouds,50.1001,-91.917,
35,Hilo,US,74.28,light rain,19.7297,-155.09,
36,Nikolskoye,RU,45.88,overcast clouds,59.7035,30.7861,
38,Igrim,RU,52.81,broken clouds,63.1906,64.4162,
39,Cidreira,BR,61.52,clear sky,-30.1811,-50.2056,
40,Rovaniemi,FI,40.41,clear sky,66.5,25.7167,
41,Lebu,CL,52.97,few clouds,-37.6167,-73.65,
42,Hithadhoo,MV,84.31,scattered clouds,-0.6,73.0833,
43,East London,ZA,61.74,few clouds,-33.0153,27.9116,
46,Warrnambool,AU,55.29,overcast clouds,-38.3833,142.4833,
47,Khudumelapye,BW,70.29,broken clouds,-23.8833,24.75,
49,Cap-Aux-Meules,CA,35.62,clear sky,47.3821,-61.8597,
50,New Norfolk,AU,54.9,few clouds,-42.7826,147.0587,
51,Half Moon Bay,US,53.51,haze,37.4636,-122.4286,
