City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hailar,CN,49.2,119.7,68.09,14,0,14.18,clear sky
1,Puerto Ayora,EC,-0.7393,-90.3518,71.08,93,7,8.68,clear sky
2,Bethel,US,41.3712,-73.414,47.01,64,100,8.05,light rain
3,Kamenka,RU,51.3223,42.7678,58.21,34,1,5.44,clear sky
4,Busselton,AU,-33.65,115.3333,68.85,63,30,10.87,scattered clouds
5,Kapaa,US,22.0752,-159.319,76.98,84,40,16.11,scattered clouds
6,Eureka,US,40.8021,-124.1637,48.92,76,71,1.99,broken clouds
7,Esperance,AU,-33.8667,121.9,78.64,40,99,4.83,overcast clouds
8,Port Lincoln,AU,-34.7333,135.8667,59.54,73,94,9.04,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,46.06,57,20,4.61,few clouds
10,Taltal,CL,-25.4,-70.4833,59.63,78,45,4.07,scattered clouds
11,Rosetta,EG,31.4044,30.4164,74.03,41,21,7.2,few clouds
12,Albany,US,42.6001,-73.9662,43.57,62,100,3.83,overcast clouds
13,Olinda,BR,-8.0089,-34.8553,73.13,100,40,8.05,scattered clouds
14,Moses Lake,US,47.1301,-119.2781,45.28,56,0,12.66,clear sky
15,Brody,UA,50.0879,25.1503,63.1,59,15,4.09,few clouds
16,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,60.33,70,0,6.02,clear sky
17,Egvekinot,RU,66.3167,-179.1667,22.75,98,98,1.25,overcast clouds
18,Zyryanskoye,RU,56.8306,86.6258,43.36,31,95,12.5,overcast clouds
19,Jamestown,US,42.097,-79.2353,44.24,65,0,5.75,clear sky
20,Matay,EG,28.419,30.7792,86.77,13,54,4.52,broken clouds
21,Tasiilaq,GL,65.6145,-37.6368,30.36,68,100,5.35,overcast clouds
22,Hay River,CA,60.8156,-115.7999,31.98,100,100,14.97,snow
23,Rikitea,PF,-23.1203,-134.9692,77.13,81,7,17.58,clear sky
24,Karratha,AU,-20.7377,116.8463,84.04,40,97,12.53,overcast clouds
25,Hermagor,AT,46.6272,13.3672,60.33,88,100,2.35,overcast clouds
26,Dunedin,NZ,-45.8742,170.5036,58.8,82,100,6.11,overcast clouds
27,Bredasdorp,ZA,-34.5322,20.0403,59.32,76,83,4.79,broken clouds
28,Saint-Joseph,RE,-21.3667,55.6167,79.18,77,26,9.42,scattered clouds
29,Bubaque,GW,11.2833,-15.8333,76.64,69,11,9.24,few clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,31.35,92,100,10.71,overcast clouds
31,Burlington,US,39.8835,-74.6413,44.71,89,100,13.8,light rain
32,Alice Springs,AU,-23.7,133.8833,69.22,32,24,14.97,few clouds
33,Sioux Lookout,CA,50.1001,-91.917,48.27,43,100,10.36,overcast clouds
34,Iranshahr,IR,27.2025,60.6848,98.94,18,0,4.61,clear sky
35,Hilo,US,19.7297,-155.09,74.28,94,100,8.05,light rain
36,Nikolskoye,RU,59.7035,30.7861,45.88,55,100,11.27,overcast clouds
37,Khorixas,NA,-20.3667,14.9667,72.95,25,0,4.32,clear sky
38,Igrim,RU,63.1906,64.4162,52.81,90,74,7.16,broken clouds
39,Cidreira,BR,-30.1811,-50.2056,61.52,81,0,11.1,clear sky
40,Rovaniemi,FI,66.5,25.7167,40.41,45,0,12.66,clear sky
41,Lebu,CL,-37.6167,-73.65,52.97,94,21,3.44,few clouds
42,Hithadhoo,MV,-0.6,73.0833,84.31,76,49,18.97,scattered clouds
43,East London,ZA,-33.0153,27.9116,61.74,77,20,12.66,few clouds
44,Paamiut,GL,61.994,-49.6678,29.91,82,100,12.35,overcast clouds
45,Barrow,US,71.2906,-156.7887,21.22,93,100,6.91,fog
46,Warrnambool,AU,-38.3833,142.4833,55.29,73,99,7.16,overcast clouds
47,Khudumelapye,BW,-23.8833,24.75,70.29,32,81,5.66,broken clouds
48,Saskylakh,RU,71.9167,114.0833,17.37,90,82,15.59,broken clouds
